"NewsDesk","SectionName","SubsectionName","Headline","Snippet","Abstract","WordCount","PubDate","UniqueID"
"Culture","","","'Birdman' Tops the Gothams","The backstage tale won two awards; Citizenfour, the Edward Snowden documentary, was also a winner.","The backstage tale won two awards; Citizenfour, the Edward Snowden documentary, was also a winner.",111,"2014-12-01 22:45:24",6533
"Culture","Arts","","'Sleepy Hollow' Recap: A Not-So-Shocking Death","In the fall season finale, a question of where the series has many places to go.","In the fall season finale, a question of where the series has many places to go.",558,"2014-12-01 22:01:34",6534
"Business","Crosswords/Games","","Drinking Buddy For Falstaff","In which Timothy Polin reveals his potty mouth.","In which Timothy Polin reveals his potty mouth.",788,"2014-12-01 22:00:26",6535
"Business","Business Day","Dealbook","Encouraging Public Service, Through Wall Street's 'Revolving Door'","The debate about pay for Wall Street executives who take government jobs appears to be based more on a populist shakedown than on good public policy.","The debate about pay for Wall Street executives who take government jobs appears to be based more on a populist shakedown than on good public policy.",915,"2014-12-01 21:04:13",6536
"Science","Health","","Therapy Prevents Repeat Suicide Attempts","Short-term psychotherapy may be an effective way to prevent repeated suicide attempts.","Short-term psychotherapy may be an effective way to prevent repeated suicide attempts.",213,"2014-12-01 19:13:20",6537
"Science","Health","","Hoping for a Good Death","What I hadnt considered before my fathers heart attack was the precise meaning of not wanting to live hooked up to machines.","What I hadnt considered before my fathers heart attack was the precise meaning of not wanting to live hooked up to machines.",938,"2014-12-01 19:05:12",6538
"OpEd","Opinion","","The Secret Therapist","Sometimes, being a primary care doctor isnt enough.","Sometimes, being a primary care doctor isnt enough.",1336,"2014-12-01 19:00:16",6539
"","Opinion","Room For Debate","The Ethics of Fighting Ebola","How can the development and testing of Ebola drugs and vaccines help fight the outbreak while respecting ethical standards?","How can the development and testing of Ebola drugs and vaccines help fight the outbreak while respecting ethical standards?",2644,"2014-12-01 18:22:40",6540
"TStyle","","","Highlights of This Week's Design Miami Show","A guide to the installations, galleries and emerging talents not to miss at the tenth anniversary of the fair.","A guide to the installations, galleries and emerging talents not to miss at the tenth anniversary of the fair.",752,"2014-12-01 18:15:56",6541
"","","","Eminem Invoked at the Supreme Court","Chief Justice John G. Roberts Jr. is well known for his ability to quote obscure case law, but on Monday he invoked the rapper Eminem at the Supreme Court.","Chief Justice John G. Roberts Jr. is well known for his ability to quote obscure case law, but on Monday he invoked the rapper Eminem at the Supreme Court.",99,"2014-12-01 18:04:11",6542
