"UniqueID","Probability1"
6533,0.0875
6534,0.1985
6535,0.9791
6536,0.3748
6537,0.2033
6538,0.6566
6539,0.9231
6540,0.0017
6541,0.047
6542,0.0048
6543,2e-04
6544,0.8673
6545,0.0013
6546,0.0039
6547,6e-04
6548,0.9147
6549,0.7812
6550,0.3344
6551,0.3582
6552,0.0177
6553,0.0254
6554,0.02
6555,0.9399
6556,0.0026
6557,2e-04
6558,0.556
6559,0.0216
6560,0.9801
6561,0.5437
6562,0.0254
6563,0.0019
6564,0.019
6565,0.0041
6566,0.0284
6567,0.6019
6568,0.9875
6569,0.9253
6570,0.0017
6571,0.0519
6572,0.714
6573,0.9799
6574,0.9557
6575,0.0054
6576,0.7686
6577,0.0012
6578,6e-04
6579,0.0422
6580,0.0048
6581,0.8631
6582,0.0132
6583,0.0027
6584,0.1517
6585,0.0014
6586,0.0315
6587,0.2318
6588,1e-04
6589,1e-04
6590,0.108
6591,0.8954
6592,7e-04
6593,8e-04
6594,0.003
6595,0.001
6596,0.0035
6597,0.0141
6598,0.004
6599,0.0012
6600,0.4147
6601,0.182
6602,1e-04
6603,6e-04
6604,0.0393
6605,0.1187
6606,0.8963
6607,0.0157
6608,0.9398
6609,0.6656
6610,1e-04
6611,0.0015
6612,0.3049
6613,5e-04
6614,0.0825
6615,0.0012
6616,0.0338
6617,0.0184
6618,0.0259
6619,0.0355
6620,3e-04
6621,0.0386
6622,0.005
6623,0.0063
6624,0.0605
6625,0.0057
6626,0
6627,0.0015
6628,0
6629,0.0257
6630,1e-04
6631,0.035
6632,0.2082
6633,0.8743
6634,0.0431
6635,0.4023
6636,0.3306
6637,0.4513
6638,0.376
6639,0.1748
6640,0.2553
6641,0.4563
6642,0.2915
6643,0.4363
6644,0.3687
6645,0.0591
6646,0.32
6647,0.0222
6648,0.0209
6649,0.2365
6650,0.9801
6651,0
6652,5e-04
6653,0.0255
6654,0.0134
6655,0.1631
6656,0.015
6657,0.0038
6658,0.3325
6659,0.0061
6660,0.3998
6661,0
6662,2e-04
6663,0.0099
6664,0.5152
6665,0.0078
6666,6e-04
6667,0.106
6668,0.013
6669,0.0132
6670,0.9153
6671,0.8994
6672,0.0015
6673,0.0719
6674,0.0472
6675,0.0053
6676,0.0018
6677,0.0017
6678,0.0048
6679,0.0029
6680,0.8583
6681,0.0065
6682,0.0131
6683,0.0453
6684,0.3143
6685,0.1027
6686,0.0029
6687,0.0293
6688,0.895
6689,9e-04
6690,0.0317
6691,0.1605
6692,0.1448
6693,0
6694,0.9852
6695,0.0527
6696,1e-04
6697,0.8106
6698,0.0372
6699,0.042
6700,4e-04
6701,0.7623
6702,0.0107
6703,0.0444
6704,0.0382
6705,0.0103
6706,0
6707,0.014
6708,0.0176
6709,0.056
6710,0.0055
6711,0.0019
6712,0.0139
6713,0.0019
6714,0.0701
6715,0.0029
6716,0.0087
6717,0.0462
6718,0.3076
6719,0.0667
6720,0.9754
6721,0
6722,0.0063
6723,0.8403
6724,0.1265
6725,0.6841
6726,0.0118
6727,0.1248
6728,0.9537
6729,0.0012
6730,1e-04
6731,0.2691
6732,0.0011
6733,0.0074
6734,0.026
6735,0.024
6736,0.0024
6737,0.0073
6738,0.0257
6739,0.214
6740,0
6741,0.2192
6742,1e-04
6743,0.0079
6744,0.0357
6745,0.3465
6746,0.0195
6747,5e-04
6748,0.0586
6749,0.0672
6750,0.9281
6751,0.0195
6752,0.2399
6753,0.4515
6754,0.0127
6755,1e-04
6756,0.0141
6757,0.3198
6758,0.1472
6759,0.0046
6760,0.0448
6761,0.0105
6762,5e-04
6763,1e-04
6764,0.9421
6765,0.0049
6766,2e-04
6767,0.0075
6768,0.1349
6769,0.0332
6770,0.0591
6771,0.0673
6772,0.0098
6773,0.0024
6774,0
6775,0.798
6776,0.0087
6777,1e-04
6778,0.0268
6779,0.0752
6780,0.9943
6781,0.1364
6782,0.03
6783,0.033
6784,0.0021
6785,0.1007
6786,0.0248
6787,0.9506
6788,0.1529
6789,0.0022
6790,0.0776
6791,5e-04
6792,0.0022
6793,0.3379
6794,7e-04
6795,0.0552
6796,0.0032
6797,7e-04
6798,0.0016
6799,0.0107
6800,0.0235
6801,0.2186
6802,0.0663
6803,0
6804,9e-04
6805,0.0019
6806,0
6807,0.6644
6808,0.9966
6809,0.022
6810,0.9666
6811,0.0032
6812,0.1327
6813,0
6814,0.0187
6815,0.0492
6816,0.176
6817,0.2957
6818,0.0036
6819,0.952
6820,0.0198
6821,0.0206
6822,0.0571
6823,0.2195
6824,0.5374
6825,0.957
6826,4e-04
6827,0.0467
6828,0.0039
6829,0.074
6830,0.028
6831,0.051
6832,0.0053
6833,0.0053
6834,0.0307
6835,0.9915
6836,0.0061
6837,0.0306
6838,0.045
6839,0.0017
6840,0
6841,8e-04
6842,0.0156
6843,2e-04
6844,0.9117
6845,0.8319
6846,0
6847,0.2629
6848,0.0075
6849,0.003
6850,0.1097
6851,4e-04
6852,0.9171
6853,0.0038
6854,0.0016
6855,0.0029
6856,0.006
6857,0.0398
6858,0.0143
6859,0.9195
6860,0.6808
6861,4e-04
6862,0.0046
6863,0.1811
6864,0.5219
6865,0.0275
6866,0.8926
6867,0.1888
6868,0.0063
6869,0.6426
6870,0.0286
6871,0.0182
6872,0.0615
6873,0.084
6874,0.304
6875,0.0098
6876,0.0236
6877,0.0766
6878,0.385
6879,0.0152
6880,0
6881,0.027
6882,0.0044
6883,0
6884,0.0073
6885,0.9628
6886,0.0292
6887,0
6888,0.0068
6889,0.0217
6890,0.0028
6891,0.013
6892,5e-04
6893,0.0067
6894,0.0049
6895,9e-04
6896,0.0014
6897,0.0212
6898,0.0106
6899,0.0085
6900,0
6901,0
6902,0.0312
6903,0.2222
6904,0.9483
6905,0.0474
6906,0.0432
6907,0.0387
6908,0.009
6909,0.0476
6910,0.0112
6911,0.0076
6912,0
6913,0.0778
6914,8e-04
6915,0.0039
6916,0
6917,0.016
6918,0.279
6919,0.006
6920,0.2378
6921,0.9111
6922,0.0773
6923,0.0023
6924,0.0508
6925,0.6236
6926,2e-04
6927,0.7521
6928,0.0014
6929,0.0649
6930,0.0141
6931,0.0016
6932,0.025
6933,0.0018
6934,0.8174
6935,0.5732
6936,1e-04
6937,0.0178
6938,0.0861
6939,0.0093
6940,0.8583
6941,0.0816
6942,0.0103
6943,0.6979
6944,0.0026
6945,0.0073
6946,0.0069
6947,0.0567
6948,3e-04
6949,0.0041
6950,0.4309
6951,0.3727
6952,0.0187
6953,0.7009
6954,0.0127
6955,0.0769
6956,0.6544
6957,0.0078
6958,0
6959,4e-04
6960,0.1719
6961,0.0124
6962,8e-04
6963,0.2336
6964,0.0107
6965,0.0229
6966,0.2561
6967,0.9826
6968,0.0565
6969,0.0092
6970,0.0081
6971,0.0752
6972,0.4294
6973,0.0632
6974,0.0038
6975,0.0094
6976,0.0287
6977,0.024
6978,0
6979,0.0922
6980,0
6981,0.0265
6982,0.2769
6983,0.0362
6984,0.0042
6985,0.0106
6986,0.0101
6987,3e-04
6988,1e-04
6989,0.0361
6990,0.9021
6991,8e-04
6992,0.0058
6993,0.004
6994,0.0115
6995,8e-04
6996,0.0059
6997,0
6998,4e-04
6999,0
7000,0.0877
7001,0.0229
7002,0.8789
7003,0.9961
7004,0.403
7005,0.8088
7006,0.0148
7007,0.013
7008,0.0065
7009,0.9742
7010,9e-04
7011,0.1116
7012,0.9576
7013,0.0324
7014,0.6192
7015,0.0216
7016,0.7922
7017,0.2846
7018,0.1964
7019,0.089
7020,0.0578
7021,0.8544
7022,0.9626
7023,0.9974
7024,0.9571
7025,0.0158
7026,0.9527
7027,0.057
7028,0.0212
7029,6e-04
7030,0.6471
7031,0.0068
7032,0.1861
7033,0.0393
7034,0.3192
7035,0.3344
7036,0.3002
7037,0.8286
7038,0.1596
7039,0.1395
7040,0.0589
7041,1e-04
7042,0.0031
7043,0.1207
7044,0.4403
7045,0.2472
7046,9e-04
7047,0.7213
7048,0.8506
7049,0.1618
7050,0.0054
7051,0.028
7052,0.178
7053,0.0969
7054,0.0039
7055,0.0202
7056,0.6041
7057,0.1463
7058,0.1625
7059,0.0208
7060,0.0011
7061,0.9853
7062,0.0032
7063,0.0113
7064,0.1273
7065,0.052
7066,0.3012
7067,0.0305
7068,4e-04
7069,0.0034
7070,0.1294
7071,0.1542
7072,0.8155
7073,0.4504
7074,0.0029
7075,0.1731
7076,0.0351
7077,6e-04
7078,0.4127
7079,0.3589
7080,0.0025
7081,0.3658
7082,0.7545
7083,1e-04
7084,0.893
7085,0.0065
7086,0.0161
7087,0.8962
7088,0.0034
7089,0.5164
7090,8e-04
7091,0.0277
7092,0.03
7093,0.0244
7094,0.0018
7095,0.6308
7096,0.0407
7097,0.9867
7098,0.1047
7099,8e-04
7100,0.0238
7101,2e-04
7102,0.0198
7103,0.327
7104,0.0135
7105,0.0027
7106,0.0031
7107,0.0016
7108,0.0086
7109,0.0173
7110,0.0022
7111,0.0033
7112,0.14
7113,0.0036
7114,0
7115,1e-04
7116,0.3986
7117,0.0105
7118,0.1212
7119,1e-04
7120,0.9126
7121,0.2081
7122,0.0275
7123,0.0514
7124,0.2037
7125,1e-04
7126,0.0708
7127,0.007
7128,0.0092
7129,3e-04
7130,0.0141
7131,0.7586
7132,0.1805
7133,0.027
7134,0.0594
7135,0.0278
7136,0.4276
7137,9e-04
7138,0.5776
7139,0.1187
7140,0.1224
7141,0.9946
7142,0.0155
7143,0.022
7144,6e-04
7145,0.9306
7146,0.0013
7147,3e-04
7148,0.9878
7149,0.0143
7150,0.811
7151,0.2788
7152,0.0297
7153,0.0573
7154,0.001
7155,0.1367
7156,0.0412
7157,0.0014
7158,0.0713
7159,3e-04
7160,0.0909
7161,7e-04
7162,0.28
7163,0.0595
7164,2e-04
7165,0.0019
7166,0.021
7167,0.0052
7168,0.0011
7169,0.0179
7170,0.0017
7171,0.0015
7172,0.005
7173,0.0136
7174,0.0012
7175,0.1601
7176,0.2925
7177,0.0229
7178,0.9524
7179,0.0439
7180,0.5874
7181,0.3481
7182,0.051
7183,1e-04
7184,4e-04
7185,0.9747
7186,0.4516
7187,3e-04
7188,0.8316
7189,1e-04
7190,0.0341
7191,0.0664
7192,0.0028
7193,0.0101
7194,0.0167
7195,0.0075
7196,0.0046
7197,0.0016
7198,0.0528
7199,0
7200,0.0311
7201,3e-04
7202,0.1477
7203,0.0827
7204,0
7205,0.0072
7206,0.0462
7207,0.0805
7208,0.8507
7209,0.1113
7210,0.2503
7211,0.0387
7212,0.0438
7213,0.1254
7214,0.0359
7215,0.0053
7216,0.0148
7217,0.2095
7218,0.9497
7219,1e-04
7220,0.1231
7221,0.0284
7222,0.0098
7223,0.0116
7224,0.0852
7225,0.4527
7226,0.001
7227,0.008
7228,0.0144
7229,0.8154
7230,0.5889
7231,0.006
7232,0.3807
7233,0.2367
7234,0.6575
7235,0.0036
7236,0.0068
7237,1e-04
7238,0.9676
7239,0.0158
7240,0.0159
7241,0.0158
7242,0.9539
7243,0.0072
7244,0.0075
7245,0.0213
7246,0.0039
7247,0.0011
7248,0.5102
7249,0.001
7250,0.2346
7251,0.0306
7252,0.0157
7253,9e-04
7254,0.084
7255,0.3216
7256,0.1702
7257,0.0034
7258,0.9211
7259,0.0411
7260,0.0127
7261,0.0015
7262,0.1121
7263,0.0282
7264,0.1012
7265,0.264
7266,0.3582
7267,2e-04
7268,0.4414
7269,0.0255
7270,0.088
7271,0.0808
7272,0.0081
7273,0.134
7274,0.2031
7275,0.0151
7276,0.0225
7277,0.0708
7278,0.002
7279,0.2892
7280,0
7281,7e-04
7282,0.2727
7283,0.031
7284,2e-04
7285,0.0878
7286,0.2362
7287,0.0019
7288,0.6835
7289,0.0028
7290,0.5269
7291,0.0971
7292,0.0133
7293,0.0173
7294,0.0118
7295,0.0448
7296,0
7297,6e-04
7298,0.0224
7299,0.013
7300,0.003
7301,0.0063
7302,0.0505
7303,0.0059
7304,0.0019
7305,0
7306,0
7307,0.6683
7308,0.7173
7309,0.0335
7310,0.0335
7311,0.122
7312,0.2633
7313,0.1052
7314,0.9649
7315,0.0033
7316,0.4467
7317,0.0593
7318,0.0356
7319,0.0034
7320,0.0134
7321,0.0224
7322,0.0152
7323,0.0219
7324,0.0266
7325,0
7326,0.0231
7327,0.0011
7328,0.011
7329,0.0195
7330,0.1869
7331,0.0011
7332,0.1413
7333,0.0654
7334,0.0496
7335,0.0474
7336,0.0018
7337,0.7266
7338,0.0296
7339,0.0262
7340,0.0016
7341,1e-04
7342,0.2564
7343,0.0157
7344,0.786
7345,0.0011
7346,0.0068
7347,0.0295
7348,0.0036
7349,0.8588
7350,0.0397
7351,0.0279
7352,0.0033
7353,9e-04
7354,0.0682
7355,0.6596
7356,0.0343
7357,0.5474
7358,0.0204
7359,0.0265
7360,0.0013
7361,0
7362,3e-04
7363,6e-04
7364,0
7365,0.0099
7366,0.0021
7367,0.0524
7368,0
7369,0.0011
7370,0.0458
7371,0.0144
7372,0.0045
7373,0.0213
7374,0.0743
7375,0.7002
7376,0.0843
7377,0.0823
7378,0.0313
7379,0.0477
7380,0.0199
7381,0.088
7382,0.6987
7383,0.001
7384,0.0534
7385,0
7386,0.0754
7387,0.0625
7388,0.0126
7389,0.0011
7390,0.2161
7391,0
7392,0.0059
7393,0.7349
7394,0.0064
7395,0.0601
7396,6e-04
7397,0.0153
7398,0.0619
7399,0.1159
7400,0.043
7401,0.0126
7402,0.0022
7403,0.0081
7404,0.1246
7405,0.1674
7406,0
7407,0
7408,0.0082
7409,0
7410,0.0064
7411,0.9462
7412,0.1401
7413,0.0533
7414,0.0077
7415,0.803
7416,0.0961
7417,0.0066
7418,6e-04
7419,0.2852
7420,0.0044
7421,0
7422,9e-04
7423,6e-04
7424,0.0138
7425,0.0013
7426,0.0021
7427,0.0715
7428,0.0022
7429,0.2472
7430,0.8357
7431,0.0173
7432,0.167
7433,0.168
7434,0.0101
7435,0.0045
7436,0.0977
7437,0.8071
7438,0.0601
7439,0.0784
7440,0.1642
7441,0.0434
7442,0.0046
7443,0.3522
7444,0.014
7445,0.4377
7446,0.0198
7447,0.1121
7448,0.0042
7449,0.0268
7450,0.0741
7451,0.0081
7452,0.0048
7453,0.0229
7454,0.123
7455,0.1356
7456,0.0169
7457,0.023
7458,0.0037
7459,0.1714
7460,0.0011
7461,0.043
7462,0.0183
7463,0.2404
7464,0.0012
7465,0.0014
7466,0.0158
7467,0.002
7468,0.4574
7469,0.0141
7470,0.9935
7471,0.3607
7472,0.0288
7473,0.3743
7474,0.8869
7475,0.4109
7476,0.0973
7477,0
7478,0.0233
7479,0
7480,0.4013
7481,0.0036
7482,0.0308
7483,0.0021
7484,0.3274
7485,0.0325
7486,0.0111
7487,0.0274
7488,0.0347
7489,0.0415
7490,0.0093
7491,0
7492,0
7493,0.0015
7494,0.0333
7495,0.9629
7496,0.7542
7497,0.0395
7498,0.6121
7499,0.1912
7500,0.3823
7501,0.0332
