"UniqueID","Probability1"
6533,0.1
6534,0.166
6535,0.972
6536,0.31
6537,0.206
6538,0.656
6539,0.836
6540,0
6541,0.05
6542,0.006
6543,0
6544,0.868
6545,0.004
6546,0.004
6547,0.002
6548,0.916
6549,0.728
6550,0.414
6551,0.33
6552,0.032
6553,0.046
6554,0.024
6555,0.938
6556,0
6557,0
6558,0.568
6559,0.086
6560,0.972
6561,0.522
6562,0.024
6563,0.002
6564,0.032
6565,0.008
6566,0.034
6567,0.606
6568,0.986
6569,0.92
6570,0.004
6571,0.054
6572,0.712
6573,0.956
6574,0.67
6575,0.004
6576,0.73
6577,0.004
6578,0.002
6579,0.032
6580,0.002
6581,0.834
6582,0.008
6583,0
6584,0.16
6585,0.002
6586,0.224
6587,0.286
6588,0
6589,0
6590,0.422
6591,0.916
6592,0.02
6593,0
6594,0.002
6595,0
6596,0.034
6597,0.004
6598,0.004
6599,0.088
6600,0.448
6601,0.142
6602,0
6603,0
6604,0.056
6605,0.104
6606,0.866
6607,0.038
6608,0.938
6609,0.682
6610,0
6611,0.006
6612,0.326
6613,0
6614,0.088
6615,0
6616,0.08
6617,0
6618,0.044
6619,0.056
6620,0.002
6621,0.04
6622,0.016
6623,0
6624,0.002
6625,0.008
6626,0.002
6627,0
6628,0.022
6629,0.042
6630,0
6631,0.036
6632,0.232
6633,0.868
6634,0.042
6635,0.414
6636,0.32
6637,0.434
6638,0.36
6639,0.184
6640,0.26
6641,0.434
6642,0.282
6643,0.394
6644,0.362
6645,0.05
6646,0.28
6647,0.046
6648,0.018
6649,0.242
6650,0.956
6651,0
6652,0
6653,0.024
6654,0.004
6655,0.148
6656,0.022
6657,0.004
6658,0.29
6659,0
6660,0.448
6661,0
6662,0.01
6663,0.012
6664,0.38
6665,0.014
6666,0.014
6667,0.014
6668,0.024
6669,0.016
6670,0.916
6671,0.89
6672,0
6673,0.076
6674,0.036
6675,0.004
6676,0.004
6677,0.002
6678,0.014
6679,0.002
6680,0.808
6681,0.054
6682,0.032
6683,0.038
6684,0.268
6685,0.024
6686,0
6687,0.022
6688,0.858
6689,0
6690,0
6691,0.156
6692,0.156
6693,0
6694,0.976
6695,0.066
6696,0
6697,0.77
6698,0.014
6699,0.062
6700,0
6701,0.69
6702,0.002
6703,0.026
6704,0.122
6705,0.006
6706,0
6707,0.02
6708,0.016
6709,0.002
6710,0.006
6711,0.004
6712,0.002
6713,0
6714,0.154
6715,0.006
6716,0.006
6717,0
6718,0.298
6719,0.054
6720,0.972
6721,0
6722,0.016
6723,0.99
6724,0.122
6725,0.678
6726,0.02
6727,0.096
6728,0.95
6729,0
6730,0
6731,0.268
6732,0
6733,0.018
6734,0.024
6735,0.026
6736,0.002
6737,0.004
6738,0.07
6739,0.226
6740,0
6741,0.34
6742,0
6743,0.006
6744,0.026
6745,0.414
6746,0.03
6747,0
6748,0.098
6749,0.064
6750,0.814
6751,0.004
6752,0.078
6753,0.42
6754,0.028
6755,0
6756,0.006
6757,0.318
6758,0.26
6759,0.01
6760,0.05
6761,0.004
6762,0
6763,0.004
6764,0.926
6765,0
6766,0.002
6767,0.002
6768,0.11
6769,0.044
6770,0.08
6771,0.042
6772,0.03
6773,0.004
6774,0
6775,0.736
6776,0.004
6777,0
6778,0.022
6779,0.11
6780,0.988
6781,0.096
6782,0.036
6783,0.032
6784,0.004
6785,0.098
6786,0.064
6787,0.948
6788,0.162
6789,0.032
6790,0.028
6791,0
6792,0
6793,0.358
6794,0
6795,0.122
6796,0.002
6797,0
6798,0.006
6799,0.012
6800,0.168
6801,0.078
6802,0.036
6803,0
6804,0
6805,0.004
6806,0
6807,0.674
6808,0.996
6809,0.026
6810,0.982
6811,0.008
6812,0.042
6813,0
6814,0.026
6815,0.112
6816,0.216
6817,0.364
6818,0.002
6819,0.91
6820,0.002
6821,0.01
6822,0.03
6823,0.038
6824,0.472
6825,0.954
6826,0
6827,0.012
6828,0
6829,0.144
6830,0.028
6831,0.196
6832,0.006
6833,0.006
6834,0.14
6835,0.878
6836,0.014
6837,0.018
6838,0.134
6839,0
6840,0.048
6841,0
6842,0.02
6843,0.002
6844,0.886
6845,0.864
6846,0
6847,0.178
6848,0.008
6849,0.002
6850,0.104
6851,0
6852,0.904
6853,0.004
6854,0
6855,0
6856,0.062
6857,0.03
6858,0.01
6859,0.898
6860,0.608
6861,0
6862,0.012
6863,0.048
6864,0.372
6865,0.032
6866,0.882
6867,0.248
6868,0.036
6869,0.604
6870,0.024
6871,0.02
6872,0.054
6873,0.058
6874,0.318
6875,0.016
6876,0.054
6877,0.236
6878,0.392
6879,0.016
6880,0
6881,0.026
6882,0
6883,0
6884,0.006
6885,0.914
6886,0.004
6887,0
6888,0.026
6889,0.02
6890,0
6891,0.022
6892,0
6893,0.008
6894,0.002
6895,0
6896,0
6897,0.006
6898,0.002
6899,0.004
6900,0
6901,0
6902,0.008
6903,0.23
6904,0.942
6905,0.076
6906,0.054
6907,0.042
6908,0.014
6909,0.046
6910,0.024
6911,0.004
6912,0.002
6913,0.112
6914,0
6915,0.004
6916,0
6917,0.01
6918,0.228
