"UniqueID","Probability1"
6533,0.0688
6534,0.1015
6535,0.9904
6536,0.3839
6537,0.1338
6538,0.8278
6539,0.8772
6540,0
6541,0.0708
6542,0.0028
6543,0
6544,0.7351
6545,2e-04
6546,7e-04
6547,4e-04
6548,0.9107
6549,0.9411
6550,0.5544
6551,0.2804
6552,0.0289
6553,0.0086
6554,0.0678
6555,0.9565
6556,1e-04
6557,2e-04
6558,0.4846
6559,9e-04
6560,0.9714
6561,0.5757
6562,0.0022
6563,1e-04
6564,0.0029
6565,0
6566,0.0166
6567,0.6093
6568,0.9814
6569,0.9246
6570,1e-04
6571,0.0359
6572,0.74
6573,0.9777
6574,0.9248
6575,0.0093
6576,0.8731
6577,0
6578,2e-04
6579,0.0351
6580,3e-04
6581,0.8809
6582,0.0083
6583,9e-04
6584,0.2056
6585,0.0013
6586,0.0155
6587,0.1888
6588,1e-04
6589,1e-04
6590,0.148
6591,0.9371
6592,0
6593,0
6594,0.0013
6595,0
6596,0
6597,0.0158
6598,1e-04
6599,0
6600,0.6141
6601,0.2495
6602,0
6603,8e-04
6604,0.1085
6605,0.0919
6606,0.8699
6607,0.0156
6608,0.9482
6609,0.6753
6610,2e-04
6611,0.0018
6612,0.3929
6613,3e-04
6614,0.0521
6615,1e-04
6616,0.0446
6617,0.0017
6618,0.0503
6619,0.0512
6620,3e-04
6621,6e-04
6622,0.0142
6623,3e-04
6624,0.0031
6625,0.0029
6626,0
6627,0.001
6628,0
6629,0.0547
6630,1e-04
6631,0.0365
6632,0.2023
6633,0.9464
6634,0.0437
6635,0.5344
6636,0.3401
6637,0.4178
6638,0.3867
6639,0.1996
6640,0.287
6641,0.3759
6642,0.3009
6643,0.379
6644,0.3835
6645,0.0356
6646,0.2306
6647,0.0111
6648,0.009
6649,0.3146
6650,0.9689
6651,0
6652,0.0013
6653,0.0307
6654,0.0075
6655,0.1775
6656,0.211
6657,0.0019
6658,0.0195
6659,0.0015
6660,0.4909
6661,0
6662,0
6663,0.0111
6664,0.3255
6665,0.0076
6666,0
6667,0.0314
6668,0.0583
6669,0.0118
6670,0.755
6671,0.8224
6672,0
6673,0.0531
6674,0.0605
6675,0.015
6676,0
6677,1e-04
6678,0.0052
6679,0.0014
6680,0.8395
6681,0.001
6682,1e-04
6683,0.0392
6684,0.18
6685,1e-04
6686,0
6687,0.0343
6688,0.982
6689,0
6690,0.0014
6691,0.2392
6692,0.2862
6693,0
6694,0.9678
6695,0.1525
6696,0
6697,0.8351
6698,0.0159
6699,0.2009
6700,0
6701,0.7794
6702,0
6703,0.1123
6704,0.0261
6705,0.0113
6706,0
6707,0.0127
6708,0.0149
6709,6e-04
6710,0.0037
6711,0.003
6712,0.0031
6713,0.0047
6714,0.0053
6715,0.0049
6716,0
6717,2e-04
6718,0.293
6719,0.0498
6720,0.9694
6721,0
6722,0.0043
6723,0.9939
6724,0.1014
6725,0.682
6726,0.0095
6727,0.1506
6728,0.8975
6729,2e-04
6730,0
6731,0.3746
6732,0
6733,0
6734,0.0053
6735,0.0348
6736,3e-04
6737,0.0024
6738,0.1652
6739,0.2052
6740,0
6741,0.3799
6742,0
6743,0.0041
6744,0.027
6745,0.4767
6746,5e-04
6747,1e-04
6748,0.0504
6749,0.0203
6750,0.9367
6751,0
6752,0.0723
6753,0.3856
6754,0.0184
6755,0
6756,0.0071
6757,0.3158
6758,0.2682
6759,0.0044
6760,0.0329
6761,0.0149
6762,4e-04
6763,0
6764,0.8889
6765,0.0056
6766,0.0025
6767,0
6768,0.0272
6769,0.0537
6770,0.1183
6771,0
6772,0.0278
6773,1e-04
6774,3e-04
6775,0.7782
6776,0.0165
6777,2e-04
6778,0.0061
6779,0.1524
6780,0.9869
6781,0.1115
6782,0.0525
6783,0.1856
6784,0.0052
6785,0.1187
6786,0.0288
6787,0.9472
6788,0.2071
6789,0.0033
6790,0.0104
6791,2e-04
6792,0
6793,0.3093
6794,1e-04
6795,0.0206
6796,0.014
6797,0.0011
6798,0.0054
6799,0.015
6800,0.0534
6801,0.022
6802,9e-04
6803,2e-04
6804,0
6805,0.0036
6806,0
6807,0.7048
6808,0.999
6809,0.0271
6810,0.9899
6811,0.0024
6812,0.0551
6813,0
6814,0.0211
6815,0.0338
6816,0.3962
6817,0.146
6818,6e-04
6819,0.8647
6820,0.0307
6821,0.0062
6822,0.0167
6823,0.0503
6824,0.3803
6825,0.9515
6826,0
6827,0.0019
6828,0
6829,0.1708
6830,0.0376
6831,0.0076
6832,0.0131
6833,0.0085
6834,9e-04
6835,0.9487
6836,0.0122
6837,0.0393
6838,0.0276
6839,9e-04
6840,0
6841,1e-04
6842,0.0033
6843,1e-04
6844,0.7927
6845,0.9666
6846,0
6847,0.3041
6848,0.0056
6849,0.0041
6850,0.0338
6851,0
6852,0.7982
6853,5e-04
6854,7e-04
6855,0.0089
6856,8e-04
6857,0.0624
6858,4e-04
6859,0.8265
6860,0.5746
6861,0
6862,0.0064
6863,0.0477
6864,0.5605
6865,0.0412
6866,0.851
6867,0.2132
6868,0.007
6869,0.5823
6870,0.0142
6871,0.0202
6872,0.0439
6873,0.0714
6874,0.2402
6875,0.0023
6876,0.0531
6877,0.36
6878,0.4129
6879,0.0159
6880,0
6881,0.0382
6882,2e-04
6883,0
6884,0.0023
6885,0.9685
6886,0.0031
6887,0
6888,0.0028
6889,4e-04
6890,0
6891,0.0148
6892,3e-04
6893,0.028
6894,0.0017
6895,0.0015
6896,0.003
6897,0.0056
6898,0.0029
6899,0
6900,0
6901,0
6902,0.0024
6903,0.223
6904,0.9913
6905,0.0412
6906,0.0031
6907,0.0362
6908,0.0051
6909,0.0426
6910,0
6911,0.0084
6912,1e-04
6913,0.1064
6914,0
6915,0.002
6916,0
6917,0
6918,0.364
6919,0.0219
6920,0.2239
6921,0.8437
6922,0.115
6923,3e-04
6924,0.0091
6925,0.6233
6926,9e-04
6927,0.7685
6928,0
6929,1e-04
6930,0.014
6931,0
6932,0.0023
6933,6e-04
6934,0.916
6935,0.3999
6936,0
6937,2e-04
6938,0.0715
6939,0.0029
6940,0.9756
6941,0.0824
6942,0.0059
6943,0.8845
6944,5e-04
6945,5e-04
6946,0.0064
6947,0.1208
6948,0
6949,0.0077
6950,0.4
6951,0.3391
6952,0.0154
6953,0.8392
6954,0.0144
6955,0.0903
6956,0.9497
6957,0.0011
6958,0
6959,1e-04
6960,0.278
6961,0.0184
6962,9e-04
6963,0.4538
6964,0.0019
6965,0.0284
6966,0.1171
6967,0.9437
6968,0.0278
6969,0.0021
6970,0.0213
6971,0.0387
6972,0.3558
6973,0.0739
6974,1e-04
6975,0.0072
6976,0.0239
6977,0
6978,0
6979,0.2911
6980,0
6981,0
6982,0.263
6983,0.0389
6984,0.001
6985,0.0121
6986,0.0044
6987,0
6988,1e-04
6989,0.0062
6990,0.8607
6991,0.002
6992,0.0014
6993,0.0031
6994,0.0083
6995,0.0015
6996,0.0133
6997,0
6998,0.0011
6999,0
7000,0.1936
7001,0.0036
7002,0.9624
7003,0.9956
7004,0.0591
7005,0.8717
7006,0.003
7007,2e-04
7008,0.0028
7009,0.9681
7010,4e-04
7011,0.0251
7012,0.9627
7013,0.0198
7014,0.5343
7015,0.008
7016,0.9109
7017,0.2919
7018,0.2582
7019,0.129
7020,0.0173
7021,0.8225
7022,0.9809
7023,0.9882
7024,0.9901
7025,0.009
7026,0.9093
7027,0.0768
7028,0.0287
7029,4e-04
7030,0.5766
7031,0.0013
7032,0.1074
7033,0.0114
7034,0.2787
7035,0.3377
7036,0.1267
7037,0.9978
7038,0.1437
7039,0.1645
7040,0.0657
7041,1e-04
7042,9e-04
7043,0.1034
7044,0.6049
7045,0.0976
7046,1e-04
7047,0.9796
7048,0.9341
7049,0.0798
7050,0
7051,0.0466
7052,0.2171
7053,0.0516
7054,3e-04
7055,0.0093
7056,0.6205
7057,0.1052
7058,0.1442
7059,0.0136
7060,0
7061,0.9758
7062,0
7063,2e-04
7064,0.1175
7065,0.0354
7066,0.5366
7067,0.0109
7068,0
7069,1e-04
7070,0.2228
7071,0.213
7072,0.9644
7073,0.4673
7074,0.0018
7075,0.0459
7076,0.0015
7077,0
7078,0.0598
7079,0.4257
7080,0.0054
7081,0.3649
7082,0.7623
7083,2e-04
7084,0.6822
7085,0.0039
7086,0.0101
7087,0.941
7088,0.0034
7089,0.6479
7090,0
7091,3e-04
7092,0.0778
7093,0.0088
7094,0.0024
7095,0.6596
7096,1e-04
7097,0.9558
7098,0.2521
7099,2e-04
7100,1e-04
7101,1e-04
7102,1e-04
7103,0.2612
7104,0.0058
7105,0.0017
7106,0.0052
7107,0.0027
7108,0.0316
7109,0.0408
7110,0.0048
7111,0.002
7112,0.0012
7113,0.0102
7114,0
7115,0
7116,0.4943
7117,0.0361
7118,0.2016
7119,0
7120,0.9985
7121,0.1129
7122,0.0631
7123,0.0665
7124,0.2039
7125,0
7126,0.1896
7127,0.0213
7128,2e-04
7129,0
7130,0.0028
7131,0.9402
7132,0.1783
7133,0.0472
7134,0.0514
7135,0.0712
7136,0.2613
7137,0
7138,0.6228
7139,0.0159
7140,0.0758
7141,0.984
7142,0
7143,0.0197
7144,0
7145,0.9307
7146,2e-04
7147,3e-04
7148,0.9615
7149,0
7150,0.8741
7151,0.2379
7152,0.0553
7153,0.0517
7154,9e-04
7155,0.2292
7156,4e-04
7157,8e-04
7158,0.0666
7159,1e-04
7160,3e-04
7161,9e-04
7162,0.0748
7163,0.0488
7164,1e-04
7165,0
7166,0.0129
7167,2e-04
7168,0
7169,0
7170,3e-04
7171,9e-04
7172,0.0195
7173,0.006
7174,0.0028
7175,0.2143
7176,0.3533
7177,0.0368
7178,0.9201
7179,0.0778
7180,0.9214
7181,0.3751
7182,0.0398
7183,0
7184,0
7185,0.9662
7186,0.5949
7187,0
7188,0.8677
7189,0
7190,0
7191,0.0089
7192,0.0037
7193,0
7194,0.008
7195,2e-04
7196,0.0226
7197,0.0031
7198,8e-04
7199,0
7200,0
7201,3e-04
7202,0.2582
7203,0.1704
7204,0
7205,0.0027
7206,0.0916
7207,0.0444
7208,0.894
7209,0.0901
7210,0.4256
7211,0.0182
7212,0.0111
7213,0.1694
7214,0.0215
7215,0.0019
7216,0.0538
7217,0.3044
7218,0.9401
7219,0
7220,0.2131
7221,0.0064
7222,0.0316
7223,0.0134
7224,0.0075
7225,0.3477
7226,2e-04
7227,0.0196
7228,0.0369
7229,0.8779
7230,0.6681
7231,0
7232,0.1565
7233,0.4903
7234,0.5888
7235,3e-04
7236,0
7237,1e-04
7238,0.9518
7239,0.0048
7240,0.0049
7241,0.0048
7242,0.9394
7243,4e-04
7244,0.0017
7245,0.0499
7246,0
7247,0.0037
7248,0.5913
7249,0.0079
7250,0.1311
7251,0.0381
7252,0.0101
7253,1e-04
7254,0.2962
7255,0.3215
7256,0.3145
7257,0.0023
7258,0.9
7259,0.0928
7260,0.0046
7261,0.0038
7262,0.195
7263,0.0581
7264,0.096
7265,0.1935
7266,0.3321
7267,1e-04
7268,0.55
7269,6e-04
7270,0.073
7271,0.1116
7272,0.0048
7273,0.3283
7274,0.3454
7275,0.0191
7276,0.0454
7277,0.0343
7278,1e-04
7279,0.0915
7280,0
7281,3e-04
7282,0.0668
7283,1e-04
7284,0.0024
7285,0.1144
7286,0.059
7287,0.0025
7288,0.72
7289,0.0026
7290,0.6437
7291,0.159
7292,0
7293,0.0508
7294,0.0022
7295,0.0274
7296,4e-04
7297,0.0016
7298,0.045
7299,0.0125
7300,0.0028
7301,4e-04
7302,0.0179
7303,0.0114
7304,0.002
7305,0
7306,0
7307,0.6978
7308,0.7101
7309,0.0411
7310,0.0411
7311,0.1283
7312,0.2565
7313,0.2831
7314,0.9828
7315,0
7316,0.3821
7317,0.233
7318,0.0622
7319,1e-04
7320,0.0016
7321,0.0127
7322,0.015
7323,0.03
7324,0.0385
7325,0
7326,0.0184
7327,1e-04
7328,0.0037
7329,0
7330,0.1803
7331,0.0013
7332,0.0523
7333,0.1542
7334,0.065
7335,0.009
7336,0
7337,0.4806
7338,0.0425
7339,0.0329
7340,9e-04
7341,1e-04
7342,0.338
7343,0.0153
7344,0.9006
7345,4e-04
7346,0.0101
7347,0.0489
7348,3e-04
7349,0.7336
7350,0.0116
7351,0.038
7352,1e-04
7353,2e-04
7354,0.0574
7355,0.9259
7356,0.1204
7357,0.8629
7358,0.0228
7359,0.1003
7360,0.0022
7361,0
7362,1e-04
7363,6e-04
7364,0
7365,0.0099
7366,0.0107
7367,0.1103
7368,1e-04
7369,0
7370,1e-04
7371,0
7372,3e-04
7373,0.0172
7374,0.1098
7375,0.6919
7376,0.06
7377,0.0578
7378,0.0493
7379,0.0967
7380,0.0112
7381,0.1328
7382,0.6904
7383,7e-04
7384,0.1678
7385,0
7386,0.0459
7387,0.0844
7388,0.0137
7389,0.0071
7390,0.3462
7391,0
7392,0.0035
7393,0.7936
7394,0.0085
7395,0
7396,7e-04
7397,0.0175
7398,0.183
7399,2e-04
7400,0.0117
7401,0.0159
7402,0.0014
7403,0.0091
7404,0.024
7405,0.2295
7406,0
7407,0
7408,0.0143
7409,0
7410,0.0086
7411,0.9914
7412,0.1845
7413,0.0205
7414,0.0011
7415,0.7097
7416,0.1207
7417,0.0184
7418,0.0011
7419,0.387
7420,0
7421,0
7422,1e-04
7423,0
7424,0.0291
7425,6e-04
7426,2e-04
7427,0.0265
7428,0.0109
7429,0.0512
7430,0.8687
7431,1e-04
7432,0
7433,0.2147
7434,0.0017
7435,5e-04
7436,0.1134
7437,0.8159
7438,0.03
7439,0.09
7440,0.1074
7441,0.0643
7442,0.0042
7443,0.2943
7444,0.0138
7445,0.4382
7446,0.017
7447,0.1083
7448,0.0097
7449,0.0483
7450,0.0461
7451,0
7452,0.0096
7453,0.0598
7454,0.1073
7455,0.193
7456,0.0137
7457,0.0313
7458,0.0182
7459,0.307
7460,0.0072
7461,0.0436
7462,0.0118
7463,0.3263
7464,0.0084
7465,0.0024
7466,0.0135
7467,0.017
7468,0.3087
7469,0.0094
7470,0.9876
7471,0.2899
7472,0.0385
7473,0.3918
7474,0.9306
7475,0.4089
7476,0.0525
7477,0
7478,0.05
7479,0
7480,0.4393
7481,0.0027
7482,0.038
7483,0.0044
7484,0.0094
7485,0.0264
7486,0.0073
7487,0.1119
7488,0.0393
7489,1e-04
7490,0.0125
7491,0
7492,0
7493,0.0072
7494,7e-04
7495,0.946
7496,0.7755
7497,0.0122
7498,0.6768
7499,0.1178
7500,0.4051
7501,0.0215
7502,0.9867
7503,0.986
7504,0.0014
7505,0.5451
7506,0.3252
7507,0.9099
7508,0.0181
7509,0.5177
7510,0.0421
7511,0.5596
7512,0.0178
7513,0.6823
7514,0.2261
7515,0.0159
7516,0.0383
7517,0.075
7518,0.0471
7519,0.9796
7520,0.5607
7521,0.2409
7522,0.0098
7523,0.058
7524,0.2811
7525,0.079
7526,0.1606
7527,0.9983
7528,0.1223
7529,0.1363
7530,0.0271
7531,0.1964
7532,0.155
7533,0.8954
7534,0.9072
7535,0.5451
7536,0.5582
7537,0
7538,0.9718
7539,0.2685
7540,0.0036
7541,0.4344
7542,0.8238
7543,0
7544,0.8432
7545,3e-04
7546,0
7547,0.0145
7548,2e-04
7549,0.0339
7550,4e-04
7551,0.0221
7552,2e-04
7553,1e-04
7554,0
7555,0.9756
7556,0.003
7557,0.3037
7558,0.9619
7559,0.3826
7560,9e-04
7561,0.4485
7562,0.1485
7563,0.0116
7564,0.0414
7565,0
7566,0.0157
7567,0
7568,0.0311
7569,0.7565
7570,0
7571,0.1126
7572,0.1868
7573,0.9438
7574,0.0538
7575,1e-04
7576,0.001
7577,0.0042
7578,0.7479
7579,0
7580,1e-04
7581,0.3411
7582,1e-04
7583,0.064
7584,0.9692
7585,0.9834
7586,0.3113
7587,0.0344
7588,0
7589,2e-04
7590,4e-04
7591,0.0047
7592,1e-04
7593,1e-04
7594,0.0047
7595,0
7596,0.0579
7597,0.0058
7598,0.0011
7599,0.0066
7600,0.0356
7601,0.0208
7602,0.0155
7603,4e-04
7604,1e-04
7605,0.005
7606,0.0015
7607,0
7608,0
7609,0.0142
7610,0.0011
7611,0.4385
7612,0.1433
7613,0
7614,0.9993
7615,0.2153
7616,0.026
7617,0.0284
7618,0.0141
7619,0.9348
7620,0.2034
7621,0.5478
7622,0.1455
7623,0.0048
7624,0
7625,0.1123
7626,0
7627,0.5608
7628,0.2771
7629,0.2272
7630,0
7631,0.0644
7632,2e-04
7633,0.0658
7634,0.5417
7635,0.9493
7636,0.9005
7637,0.6377
7638,0
7639,0.8109
7640,0.0149
7641,0
7642,0
7643,0.0103
7644,1e-04
7645,1e-04
7646,0.8276
7647,3e-04
7648,3e-04
7649,0.8037
7650,0.042
7651,0.0193
7652,0.1611
7653,0.0035
7654,5e-04
7655,3e-04
7656,0
7657,1e-04
7658,0.0713
7659,2e-04
7660,0.0022
7661,0
7662,0.1117
7663,0.0186
7664,0.0024
7665,0.0016
7666,0.0011
7667,0.0019
7668,0.0058
7669,6e-04
7670,0.2927
7671,0.2956
7672,0.3021
7673,0.9731
7674,0.1213
7675,0.0711
7676,0.3736
7677,0.1008
7678,0
7679,0.0111
7680,0.0324
7681,0
7682,0.0631
7683,0
7684,0.7731
7685,0
7686,6e-04
7687,0.0032
7688,0.0067
7689,0.0039
7690,3e-04
7691,0.0032
7692,8e-04
7693,2e-04
7694,0.0608
7695,0.002
7696,0
7697,0
7698,0.0345
7699,0.045
7700,0.2448
7701,0.0076
7702,0.1284
7703,2e-04
7704,0.0901
7705,0.9971
7706,0.0089
7707,0.9654
7708,0.108
7709,0.004
7710,0.0017
7711,0.0941
7712,7e-04
7713,0.001
7714,0.4509
7715,0
7716,0
7717,0.6061
7718,0
7719,0.0224
7720,0.0081
7721,0.0016
7722,0.0221
7723,0
7724,0.1336
7725,0.9787
7726,0.0013
7727,0.1216
7728,0.2054
7729,0.0018
7730,0
7731,0.0749
7732,2e-04
7733,1e-04
7734,0.9479
7735,1e-04
7736,0
7737,0
7738,4e-04
7739,1e-04
7740,0.0019
7741,0
7742,0.8981
7743,0.9863
7744,0
7745,9e-04
7746,0.7965
7747,5e-04
7748,0.4341
7749,3e-04
7750,4e-04
7751,0
7752,0
7753,0.2034
7754,0
7755,4e-04
7756,3e-04
7757,5e-04
7758,0
7759,0.9259
7760,4e-04
7761,0.0126
7762,0.025
7763,0.0013
7764,1e-04
7765,0.0011
7766,0.001
7767,0
7768,0.0567
7769,0
7770,0.0064
7771,0.0455
7772,2e-04
7773,0.0012
7774,0.001
7775,0.057
7776,4e-04
7777,0.924
7778,5e-04
7779,0.015
7780,0
7781,0.0668
7782,0.0292
7783,0.0884
7784,0.0215
7785,0.0073
7786,0.3158
7787,0.0089
7788,8e-04
7789,0.808
7790,0.0717
7791,0.7455
7792,2e-04
7793,0.0526
7794,0.3047
7795,4e-04
7796,0.1574
7797,0
7798,0.963
7799,0.0486
7800,0.002
7801,4e-04
7802,0.002
7803,0
7804,0.1314
7805,0
7806,0.0736
7807,0.0057
7808,0
7809,0.0298
7810,5e-04
7811,0.5586
7812,0.018
7813,0.0051
7814,0.0215
7815,0.2951
7816,0.0299
7817,0.0117
7818,0.0027
7819,2e-04
7820,0.0179
7821,0.0623
7822,0
7823,0
7824,0.0863
7825,0.1356
7826,1e-04
7827,0.9702
7828,0.0317
7829,0.9977
7830,0.0754
7831,0.118
7832,0.1554
7833,0.0089
7834,0.1474
7835,0.9703
7836,0.0244
7837,0.0036
7838,0.0024
7839,0.0099
7840,0
7841,0.0311
7842,0.1299
7843,0.0316
7844,1e-04
7845,0.4815
7846,0
7847,0.0268
7848,0.0064
7849,1e-04
7850,0
7851,4e-04
7852,0.0148
7853,0.6704
7854,0.008
7855,0.9301
7856,0.9435
7857,0.2021
7858,0.0133
7859,0.0017
7860,0
7861,0
7862,2e-04
7863,2e-04
7864,0.5008
7865,0.2546
7866,0
7867,0.0106
7868,0.0277
7869,0.4722
7870,0.0194
7871,0.0494
7872,1e-04
7873,0.1919
7874,0.5727
7875,1e-04
7876,0.0034
7877,0
7878,0.1353
7879,0.0048
7880,0.0063
7881,0.7167
7882,0.0343
7883,0.6285
7884,4e-04
7885,0
7886,0.2151
7887,0.0806
7888,0.111
7889,0.9085
7890,0.0087
7891,0.8684
7892,0.0139
7893,0.0336
7894,0.0012
7895,0.101
7896,0.0667
7897,0.7243
7898,0.0015
7899,2e-04
7900,0
7901,0.013
7902,0.0164
7903,0
7904,0.0013
7905,0.0015
7906,0.0037
7907,0.0047
7908,0.0135
7909,0.024
7910,0.0087
7911,0.2298
7912,0
7913,0.0067
7914,0
7915,0
7916,0
7917,0.074
7918,0.0049
7919,0.0722
7920,6e-04
7921,0.1402
7922,0.0769
7923,0.8851
7924,0.463
7925,0.1485
7926,0.0173
7927,0.317
7928,0.0801
7929,1e-04
7930,0.5057
7931,0.5855
7932,0.9052
7933,0.0034
7934,0.013
7935,0
7936,0.1176
7937,0.0479
7938,0.6641
7939,0.9875
7940,0
7941,0.0028
7942,4e-04
7943,1e-04
7944,0.0031
7945,4e-04
7946,6e-04
7947,0.0115
7948,0
7949,7e-04
7950,0
7951,0
7952,0
7953,0
7954,0
7955,0.0017
7956,0.0012
7957,0
7958,0.0814
7959,0.8223
7960,0.3327
7961,0.0049
7962,0.0754
7963,0.0061
7964,0.0034
7965,8e-04
7966,0.0011
7967,0.0034
7968,0.0066
7969,0.5421
7970,7e-04
7971,0.0098
7972,0.0074
7973,0.1202
7974,0.0101
7975,0
7976,0.0093
7977,0
7978,0.3757
7979,0.743
7980,0.0082
7981,0.0075
7982,0.0187
7983,0.8648
7984,0.278
7985,0.031
7986,0.896
7987,0.0091
7988,0.0073
7989,0.9767
7990,0.0409
7991,0
7992,1e-04
7993,0.0463
7994,0.0245
7995,0.0099
7996,0.0022
7997,0.0031
7998,0
7999,0
8000,0.0015
8001,4e-04
8002,0.0038
8003,0.0015
8004,0.214
8005,0.0028
8006,0.0041
8007,2e-04
8008,0
8009,0
8010,0.0359
8011,0.0229
8012,0
8013,0.5176
8014,0.629
8015,6e-04
8016,0.9941
8017,0.9945
8018,0.888
8019,0.4586
8020,0.209
8021,0.9941
8022,0
8023,0.1656
8024,0.0384
8025,0.9429
8026,0.9953
8027,0.0029
8028,0.9915
8029,0.0063
8030,0.0438
8031,0.0407
8032,0.0837
8033,0.0125
8034,0.0348
8035,2e-04
8036,0.7471
8037,0.2413
8038,0.012
8039,0.9906
8040,0.2272
8041,0.262
8042,0.3559
8043,0.8103
8044,0.8801
8045,4e-04
8046,7e-04
8047,1e-04
8048,0.4913
8049,0.0116
8050,7e-04
8051,0.0203
8052,3e-04
8053,0.8913
8054,1e-04
8055,0.9456
8056,2e-04
8057,0.9272
8058,0.1499
8059,0
8060,0
8061,0
8062,0.0027
8063,0.8885
8064,0.0274
8065,0.0014
8066,0.6964
8067,0
8068,0.0248
8069,2e-04
8070,0.8321
8071,0.4251
8072,0.1588
8073,0.0146
8074,0.9859
8075,4e-04
8076,0.177
8077,1e-04
8078,0
8079,0.7678
8080,0
8081,1e-04
8082,0.0061
8083,7e-04
8084,0
8085,2e-04
8086,0.0014
8087,0.5308
8088,0.056
8089,0
8090,0.0072
8091,0
8092,5e-04
8093,0.0515
8094,0.0132
8095,1e-04
8096,0.0035
8097,0.0148
8098,0.011
8099,0.0308
8100,0
8101,0
8102,0.1735
8103,3e-04
8104,0.6231
8105,0.9677
8106,0.0851
8107,0.92
8108,0.1136
8109,0
8110,0.001
8111,0.2691
8112,0.9811
8113,0.014
8114,0.6248
8115,3e-04
8116,0.2893
8117,8e-04
8118,1e-04
8119,0.0574
8120,0.0014
8121,0.0185
8122,0.5813
8123,0.4733
8124,0.0049
8125,0.9455
8126,0.1463
8127,0.613
8128,0.4273
8129,0.0012
8130,0.0059
8131,0.006
8132,0.9481
8133,0.2838
8134,0.0365
8135,0
8136,0.9463
8137,0.3935
8138,0.0566
8139,0.8869
8140,0.0588
8141,0
8142,0.0496
8143,0.7797
8144,0
8145,0.027
8146,0
8147,0.021
8148,0.056
8149,2e-04
8150,0.0074
8151,2e-04
8152,0.0129
8153,0.0131
8154,0.0019
8155,0
8156,1e-04
8157,1e-04
8158,0.0679
8159,0.0192
8160,0
