" TB prevalence, all forms (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,"55,257","58,052","61,993","66,368","70,259","72,533","75,422","75,448","74,190","75,366","71,732","69,873","67,568","71,127","68,053","66,831","65,438","64,699"
Albania,"1,375","1,329","1,328","1,359","1,326","1,341","1,307","1,364","1,338","1,305","1,229","1,056",993,"1,010",918,919,826,709
Algeria,"11,253","11,444","11,617","11,767","11,885","11,965","12,467","12,967","13,467","13,976","14,501","15,049","15,624","16,228","16,863","17,526","18,219","18,942"
American Samoa,20,7,2,9,9,12,0,13,7,5,4,4,3,3,6,7,6,3
Andorra,21,20,20,20,20,19,18,15,16,14,13,13,15,13,14,13,12,14
Angola,"54,122","55,773","57,537","59,323","61,009","62,513","64,796","47,048","54,901","52,162","73,816","48,033","45,196","42,656","49,714","53,221","50,081","50,105"
Anguilla,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Antigua and Barbuda,10,10,9,9,9,8,8,8,8,7,6,7,6,7,7,6,7,7
Argentina,"31,223","30,044","28,893","27,774","26,690","25,641","24,863","23,851","22,908","21,034","19,347","18,948","15,799","15,596","14,931","15,006","14,670","13,914"
Armenia,"1,831","1,716","1,752","1,849","1,982","2,192","2,352","2,343","2,304","2,659","2,898","3,043","2,953","2,756","2,564","2,371","2,381","2,428"
Australia,"1,139","1,161","1,151","1,191","1,214","1,260","1,293","1,225","1,210","1,168","1,200","1,176","1,139","1,168","1,180","1,261","1,282","1,303"
Austria,"1,400","1,330","1,276","1,207","1,165","1,116","1,082","1,049","1,006",947,907,876,870,838,825,816,806,796
Azerbaijan,"4,154","3,998","4,225","4,642","5,176","5,928","6,716","7,283","7,994","8,545","9,229","9,569","8,131","9,002","7,457","7,095","7,194","7,320"
Bahamas,138,137,138,142,146,151,155,157,162,139,136,139,157,162,159,161,163,168
Bahrain,593,579,569,551,544,533,529,525,515,427,372,374,374,368,342,328,331,449
Bangladesh,"721,902","720,998","719,796","718,201","716,096","727,756","709,615","703,727","692,694","672,546","696,947","697,560","693,074","676,102","667,745","637,579","611,060","613,652"
Barbados,22,21,20,18,18,17,16,16,15,14,14,12,12,11,11,11,10,10
Belarus,"6,393","5,536","6,114","6,385","7,703","8,418","9,317","10,016","11,102","11,398","11,012","10,030","8,816","6,716","6,739","6,696","6,737","6,706"
Belgium,"1,614","1,505","1,478","1,497","1,511","1,457","1,332","1,306","1,229","1,233","1,220","1,287","1,218","1,151","1,105","1,109","1,049",989
Belize,121,123,123,120,118,118,81,93,122,126,95,91,93,104,112,106,117,131
Benin,"7,250","7,394","7,526","7,635","7,715","7,773","8,163","8,551","8,838","9,001","9,274","9,644","10,543","11,072","11,002","11,472","11,733","12,222"
Bermuda,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
Bhutan,"5,057","4,695","4,303","3,918","3,577","3,299","3,155","3,085","2,915","2,925","2,878","2,942","2,789","2,797","2,757","2,624","2,631","2,390"
Bolivia,"25,170","24,719","24,273","23,826","23,374","22,914","20,732","20,663","20,294","20,184","19,825","19,400","19,320","19,257","19,032","18,808","18,898","18,840"
Bosnia and Herzegovina,"6,893","6,493","6,105","5,595","5,070","4,586","4,449","4,318","3,429","2,949","2,660","2,442","2,570","2,440","2,150","2,258","2,275","2,168"
Botswana,"4,704","4,999","5,088","5,194","5,298","5,466","5,389","5,722","6,200","7,022","7,699","8,710","9,506","10,516","10,858","10,995","11,535","11,707"
Brazil,"186,010","180,520","175,364","170,557","166,101","161,701","158,434","155,314","148,756","147,688","144,294","140,503","137,352","131,345","116,624","111,838","105,191","114,417"
British Virgin Islands,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Brunei Darussalam,234,241,248,255,262,269,276,273,280,302,359,289,274,262,232,207,224,252
Bulgaria,"3,812","4,187","4,631","4,888","4,901","4,785","4,891","5,330","5,536","5,483","5,154","5,035","4,119","3,296","3,115","3,210","3,065","3,130"
Burkina Faso,"15,915","17,946","19,563","21,418","23,290","25,297","26,568","29,452","32,037","35,510","40,108","45,112","50,425","54,760","57,557","58,651","58,975","59,514"
Burundi,"16,413","17,597","17,386","17,739","18,757","20,125","21,378","22,057","27,360","26,916","30,318","35,706","40,967","45,118","48,346","51,420","53,663","55,040"
Cambodia,"90,001","90,874","91,545","92,070","92,592","92,417","94,777","94,624","95,344","95,753","96,812","97,708","96,471","96,036","95,476","94,296","95,380","95,974"
Cameroon,"23,039","25,050","25,901","26,582","27,028","27,698","28,291","30,598","32,005","33,904","36,183","39,139","39,923","38,690","39,714","37,986","36,606","36,088"
Canada,"2,036","1,944","1,870","1,772","1,717","1,650","1,611","1,574","1,523","1,446","1,395","1,357","1,356","1,313","1,298","1,290","1,282","1,326"
Cape Verde,"1,595","1,595","1,595","1,596","1,597","1,596","1,619","1,643","1,666","1,690","1,714","1,306","1,765","1,791","1,817","1,409","1,479","1,487"
Cayman Islands,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2
Central African Republic,"9,558","10,387","10,869","11,422","11,965","12,600","9,545","14,312","15,535","16,999","18,733","19,464","18,711","22,972","23,676","21,252","18,625","18,464"
Chad,"15,369","17,141","18,376","19,725","21,041","22,493","26,150","31,180","34,165","31,832","35,541","39,531","45,776","54,278","53,748","52,566","52,862","53,618"
Chile,"5,913","5,553","5,213","4,890","4,583","4,289","4,030","3,773","3,538","3,348","3,227","2,993","2,979","2,859","2,451","2,490","2,188","2,009"
China,"3,758,426","3,735,221","3,707,556","3,676,409","3,642,977","3,675,801","3,556,407","3,498,528","3,447,312","3,440,886","3,421,301","3,388,190","3,338,605","3,131,761","2,874,427","2,706,876","2,637,432","2,582,469"
Colombia,"30,585","30,088","29,572","29,038","28,492","27,942","27,675","27,413","27,156","25,209","21,201","26,419","25,608","25,414","24,532","23,751","20,018","19,831"
Comoros,990,960,931,903,875,847,812,996,793,969,783,743,768,807,770,724,708,696
"Congo, Rep.","5,053","5,541","5,922","6,402","6,922","7,526","12,187","13,494","11,148","17,003","10,029","11,632","13,534","17,546","16,842","17,404","18,865","18,287"
Cook Islands,0,2,10,9,7,3,2,2,0,7,2,4,2,0,2,1,2,4
Costa Rica,911,897,883,869,855,841,809,802,796,719,534,576,606,568,499,522,513,480
Croatia,"5,690","5,574","5,563","5,464","5,259","4,927","4,786","4,696","4,508","4,026","3,418","3,267","3,128","3,073","3,026","2,970","2,943","2,443"
Cuba,"3,353","3,077","2,819","2,580","2,359","2,156","1,986","1,841","1,710","1,584","1,404","1,374","1,250","1,150","1,057",949,850,739
Cyprus,96,92,89,84,82,79,81,77,54,54,69,67,60,51,52,49,49,49
Czech Republic,"2,238","2,269","2,241","2,195","2,138","2,177","2,129","2,117","1,979","1,820","1,626","1,457","1,339","1,239","1,170","1,110","1,020",945
Cote d'Ivoire,"37,280","40,272","41,799","43,590","45,441","47,801","50,685","55,435","61,139","68,935","80,411","99,190","99,237","106,115","110,362","114,004","113,005","112,028"
"Korea, Dem. Rep.","169,458","169,361","169,260","169,097","168,793","168,292","170,501","172,584","174,516","175,127","163,526","150,304","134,225","123,220","117,225","120,046","118,597","104,953"
"Congo, Dem. Rep.","104,481","120,400","133,925","149,385","165,242","186,358","195,381","221,733","228,863","261,402","299,920","334,449","373,158","390,779","403,945","412,231","419,453","417,066"
Denmark,630,596,568,534,514,491,457,444,427,404,388,375,373,373,366,347,357,352
Djibouti,"8,323","8,565","8,669","8,670","8,635","8,619","4,621","4,438","4,792","4,971","5,552","5,790","7,106","7,455","8,174","8,409","8,945","9,198"
Dominica,17,16,16,16,16,15,15,12,14,13,13,15,14,14,14,14,9,13
Dominican Republic,"13,321","12,880","12,449","12,041","11,665","11,324","10,999","10,950","10,798","10,482","10,386","10,260","9,175","8,577","8,385","8,052","8,104","8,045"
Ecuador,"28,981","28,429","27,859","27,267","26,652","26,014","25,603","24,952","24,726","24,272","23,816","23,121","21,482","20,671","20,021","20,281","19,495","18,642"
Egypt,"26,244","26,325","27,017","26,498","26,627","26,471","31,531","28,833","27,622","25,809","23,908","23,004","22,207","21,445","20,641","20,112","20,362","20,066"
El Salvador,"6,815","6,552","6,296","6,045","5,797","5,556","5,568","4,669","4,543","4,376","4,288","4,156","3,977","3,910","3,765","3,475","3,415","3,284"
Equatorial Guinea,573,629,666,707,746,789,847,892,967,"1,063","1,178","1,946","2,123","2,265","1,749","1,773","1,774","2,382"
Eritrea,"7,750","7,777","7,713","7,590","7,477","7,441","7,590","7,523","6,962","4,049","4,188","4,257","4,723","4,574","5,312","5,762","6,236","6,495"
Estonia,791,778,848,986,"1,122","1,216","1,253","1,372","1,412","1,446",991,927,842,756,672,614,590,526
Ethiopia,"159,563","178,399","191,828","207,230","223,644","243,083","245,919","253,921","275,934","313,502","337,384","384,174","416,483","450,910","471,838","483,680","489,016","481,175"
Fiji,495,474,455,438,421,404,382,385,366,318,341,282,294,240,269,253,252,255
Finland,680,607,545,486,475,503,509,500,478,465,428,387,350,312,295,252,247,242
France,"11,959","11,329","10,814","10,175","9,784","9,339","9,051","8,780","8,228","7,962","7,639","7,396","7,361","7,106","7,001","6,936","6,867","6,794"
French Polynesia,131,109,184,173,198,231,121,108,127,125,95,100,77,73,69,79,79,83
Gabon,"3,294","3,212","3,163","3,180","3,247","3,094","3,378","3,546","4,066","4,235","5,127","2,999","3,702","3,739","3,655","4,279","4,693","5,045"
Gambia,"3,372","3,496","3,618","3,735","3,846","3,948","3,898","4,008","4,012","6,485","6,795","7,133","4,952","5,221","5,359","5,911","6,639","6,908"
Georgia,"2,783","2,604","2,659","2,811","3,018","3,337","3,597","5,080","4,184","4,315","4,613","4,452","4,399","4,310","4,079","3,862","3,672","3,640"
Germany,"12,040","11,682","11,541","11,405","10,874","10,221","9,714","9,224","8,712","8,129","7,167","6,433","5,625","5,362","4,978","4,562","4,176","3,789"
Ghana,"82,975","83,149","82,737","81,396","79,323","77,325","78,115","72,835","73,862","75,124","74,167","73,844","75,785","77,309","79,147","80,460","81,657","82,928"
Greece,"3,083","2,931","2,812","2,661","2,574","2,470","2,405","2,343","2,259","2,135","2,049","1,980","1,963","1,887","1,850","1,825","1,800","1,776"
Grenada,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Guam,137,137,133,156,209,135,134,133,132,131,69,72,71,77,69,70,67,63
Guatemala,"10,104","10,119","10,124","10,114","10,084","10,034","9,680","9,865","10,016","10,070","10,147","10,511","10,459","10,759","10,651","10,829","10,917","11,575"
Guinea,"14,558","15,578","16,688","17,855","19,022","20,147","20,836","22,635","24,097","25,541","27,268","28,922","30,868","32,935","34,580","38,260","39,107","41,944"
Guinea-Bissau,"4,103","4,226","4,348","4,462","4,564","4,649","4,782","4,872","4,983","5,144","3,744","3,901","4,433","4,450","4,448","4,521","4,450","4,678"
Guyana,288,313,250,316,372,494,579,598,660,681,723,825,929,"1,006",964,979,983,"1,004"
Haiti,"34,062","33,685","33,487","33,415","33,465","33,630","34,167","34,640","34,531","34,303","34,516","34,583","34,350","34,208","34,490","34,229","34,716","35,099"
Honduras,"6,872","6,691","6,591","6,521","6,457","6,390","6,480","6,509","6,281","5,950","4,314","4,403","4,664","4,685","4,846","4,885","4,908","5,048"
Hungary,"6,990","7,004","7,278","7,470","7,577","7,567","7,606","7,401","6,886","4,787","4,382","3,927","3,645","3,341","2,899","2,574","2,226","1,908"
Iceland,12,11,10,10,10,10,8,9,9,9,8,8,6,6,6,8,8,8
India,"5,044,477","5,068,839","5,084,766","5,087,558","5,071,175","5,009,512","5,029,964","4,964,670","4,921,480","4,894,220","4,639,374","4,373,399","4,209,186","3,833,930","3,476,118","3,396,208","3,337,935","3,304,976"
Indonesia,"809,592","798,355","786,872","775,205","763,426","750,402","739,796","730,085","716,844","699,686","690,541","673,794","646,100","631,740","612,020","589,703","573,823","565,614"
Iran,"28,133","29,759","33,284","32,301","33,676","34,138","38,552","33,526","29,291","26,721","26,136","25,659","24,967","23,860","22,260","21,222","20,271","19,526"
Iraq,"16,326","16,814","17,341","17,901","18,482","19,075","18,752","19,337","19,464","19,494","17,756","17,813","17,195","17,887","19,530","20,989","22,326","22,866"
Ireland,670,646,637,603,552,495,453,456,454,434,441,412,400,396,400,422,437,455
Israel,496,483,475,462,459,451,468,465,438,424,411,405,408,399,398,399,399,417
Italy,"6,200","5,858","5,580","5,242","5,035","4,801","5,031","4,876","4,243","4,078","3,984","3,775","3,778","3,610","3,548","3,504","3,458","3,688"
Jamaica,245,242,239,236,233,230,180,180,177,180,176,183,190,185,188,199,198,195
Japan,"76,340","74,291","72,630","69,587","66,696","63,575","62,470","62,918","62,267","60,888","56,701","52,789","49,084","46,163","43,477","40,881","38,414","35,767"
Jordan,619,625,622,651,645,666,885,809,574,515,517,460,472,465,476,469,509,534
Kazakhstan,"15,627","14,384","13,967","13,659","13,654","14,963","17,090","21,184","24,860","20,202","21,047","22,114","22,359","23,188","23,010","22,432","22,105","21,485"
Kenya,"29,421","29,023","33,484","39,251","46,987","56,634","65,697","80,016","93,033","106,965","122,946","123,272","129,165","135,900","142,010","138,160","124,311","119,842"
Kiribati,737,736,732,727,722,717,714,680,463,459,459,519,511,424,397,385,379,402
Kuwait,"1,908","1,759","1,590","1,397","1,267","1,178","1,157","1,176","1,205",729,740,766,727,736,750,807,700,712
Kyrgyzstan,"3,934","4,139","4,155","4,216","4,594","5,416","6,579","7,802","7,052","7,113","7,724","8,461","7,718","7,388","7,176","7,080","7,100","7,147"
Laos,"17,449","17,795","18,144","18,483","18,805","19,102","17,949","17,717","17,711","17,631","17,979","17,916","17,811","17,761","17,421","16,889","16,785","16,906"
Latvia,"1,480","1,515","1,542","1,622","1,907","2,275","1,901","2,166","2,233","2,269","2,170","2,105","1,993","1,814","1,672","1,527","1,400","1,263"
Lebanon,"1,913","1,941","1,981","2,024","2,098","2,043","2,285","1,970","1,823","1,395","1,333","1,157","1,015",921,863,852,919,942
Lesotho,"3,596","3,749","3,763","3,808","3,934","4,173","4,354","4,715","5,433","9,616","6,711","7,070","7,714","7,955","8,133","8,331","8,140","11,410"
Liberia,"10,177","9,964","9,716","9,541","9,571","9,884","9,528","10,492","10,692","11,723","13,365","13,906","12,396","14,112","12,375","14,315","14,062","14,918"
Libyan Arab Jamahiriya,"1,989","1,997","2,053","2,018","2,032","2,024","2,002","1,915","1,863","1,206","1,197","1,181","1,162","1,138","1,109","1,087","1,074","1,060"
Lithuania,"2,352","2,438","2,628","2,892","3,242","3,556","3,950","4,272","4,425","4,237","4,019","3,342","2,863","2,477","2,471","2,269","2,216","2,353"
Luxembourg,71,68,65,62,60,58,57,55,54,50,50,49,49,45,46,46,46,44
Madagascar,"44,200","45,605","47,045","48,519","50,021","51,543","48,708","51,152","52,783","55,380","58,083","61,748","65,573","66,115","69,715","76,077","76,684","82,137"
