"TB mortality, all forms (per 100 000 population per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,50,49,48,47,47,46,46,45,43,43,41,39,36,37,34,33,31,30
Albania,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,3,3
Algeria,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
American Samoa,5,2,0,2,2,2,0,9,2,1,1,1,1,0,1,1,1,0
Andorra,4,4,4,4,3,3,3,2,3,3,2,3,3,2,2,2,2,2
Angola,60,60,61,62,63,64,66,48,56,53,75,49,34,30,37,39,29,33
Anguilla,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Antigua and Barbuda,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,8,8,7,7,7,7,6,6,6,6,5,6,5,5,5,5,5,4
Armenia,5,5,5,6,7,8,9,9,9,11,12,12,12,12,11,10,10,10
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
Azerbaijan,5,5,5,6,6,7,8,8,9,9,10,10,10,11,10,10,10,10
Bahamas,11,11,11,11,11,11,11,10,11,8,7,7,9,9,9,9,9,9
Bahrain,9,8,8,7,7,7,7,6,6,6,5,5,4,4,4,4,4,5
Bangladesh,77,75,72,70,68,66,63,62,60,58,58,57,55,53,52,48,45,45
Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Belarus,5,4,5,5,7,7,8,9,9,10,10,10,8,8,8,8,8,8
Belgium,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
Belize,8,9,9,9,9,9,4,6,7,8,5,3,3,5,7,4,5,7
Benin,15,15,15,15,15,15,17,17,18,17,17,17,19,20,19,19,18,18
Bermuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,101,95,90,85,81,76,72,69,63,63,60,58,55,53,51,48,47,44
Bolivia,45,43,42,41,40,38,33,33,32,31,30,28,28,27,27,26,26,25
Bosnia and Herzegovina,15,15,15,15,14,13,13,12,12,10,9,8,8,8,7,8,8,7
Botswana,46,51,55,58,61,63,60,59,65,76,84,106,123,154,162,165,189,194
Brazil,7,7,7,7,6,7,7,7,6,6,6,6,6,6,5,5,4,4
British Virgin Islands,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
